colname,durablename,static,pats,units_cd,mxinsts,nval_num,patvis_null,mxconmod,patvis,pats_null,colid,mod,ccd,name,cid,ddomain,mxfacts,valueflag_cd,tval_char,colcd,valtype_cd,c_info
v042_Bsphls_NCnc_Pt_Bld_Qn_Atmtd,_Bsphls_NCnc_Pt_Bld_Qn_Atmtd,,3820,7,4,1,297967,1,14378,11024,v042_Bsphls_NCnc_Pt_Bld_Qn_Atmtd,,1,704-7 - Basophils:NCnc:Pt:Bld:Qn:Automated count,42,LOINC,4,1,,v042,,TRUE
v043_lkcts_NFr_Pt_Bld_Qn_Atmtd_mn,_lkcts_NFr_Pt_Bld_Qn_Atmtd_mn,v043_lkcts_NFr_Pt_Bld_Qn_Atmtd,3743,1,4,1,298565,1,13780,11101,v043_lkcts_NFr_Pt_Bld_Qn_Atmtd,,1,706-2 - Basophils/100 leukocytes:NFr:Pt:Bld:Qn:Automated count,43,LOINC,4,1,,v043,,
v043_lkcts_NFr_Pt_Bld_Qn_Atmtd,_lkcts_NFr_Pt_Bld_Qn_Atmtd,,3743,1,4,1,298565,1,13780,11101,v043_lkcts_NFr_Pt_Bld_Qn_Atmtd,,1,706-2 - Basophils/100 leukocytes:NFr:Pt:Bld:Qn:Automated count,43,LOINC,4,1,,v043,,TRUE
v044_Esnphls_NCnc_Pt_Bld_Qn_Atmtd_mn,_Esnphls_NCnc_Pt_Bld_Qn_Atmtd_mn,v044_Esnphls_NCnc_Pt_Bld_Qn_Atmtd,1043,6,4,1,309216,1,3129,13801,v044_Esnphls_NCnc_Pt_Bld_Qn_Atmtd,,1,711-2 - Eosinophils:NCnc:Pt:Bld:Qn:Automated count,44,LOINC,4,2,,v044,,
v044_Esnphls_NCnc_Pt_Bld_Qn_Atmtd,_Esnphls_NCnc_Pt_Bld_Qn_Atmtd,,1043,6,4,1,309216,1,3129,13801,v044_Esnphls_NCnc_Pt_Bld_Qn_Atmtd,,1,711-2 - Eosinophils:NCnc:Pt:Bld:Qn:Automated count,44,LOINC,4,2,,v044,,TRUE
v045_lkcts_NFr_Pt_Bld_Qn_Atmtd_mn,_lkcts_NFr_Pt_Bld_Qn_Atmtd_mn,v045_lkcts_NFr_Pt_Bld_Qn_Atmtd,3677,1,4,1,298849,1,13496,11167,v045_lkcts_NFr_Pt_Bld_Qn_Atmtd,,1,713-8 - Eosinophils/100 leukocytes:NFr:Pt:Bld:Qn:Automated count,45,LOINC,4,1,,v045,,
v045_lkcts_NFr_Pt_Bld_Qn_Atmtd,_lkcts_NFr_Pt_Bld_Qn_Atmtd,,3677,1,4,1,298849,1,13496,11167,v045_lkcts_NFr_Pt_Bld_Qn_Atmtd,,1,713-8 - Eosinophils/100 leukocytes:NFr:Pt:Bld:Qn:Automated count,45,LOINC,4,1,,v045,,TRUE
v046_Hmglbn_MCnc_Pt_Bld_Qn_mn,_Hmglbn_MCnc_Pt_Bld_Qn_mn,v046_Hmglbn_MCnc_Pt_Bld_Qn,6445,2,49,1,271371,1,40974,8399,v046_Hmglbn_MCnc_Pt_Bld_Qn,,1,718-7 - Hemoglobin:MCnc:Pt:Bld:Qn,46,LOINC,49,3,,v046,,
v046_Hmglbn_MCnc_Pt_Bld_Qn,_Hmglbn_MCnc_Pt_Bld_Qn,,6445,2,49,1,271371,1,40974,8399,v046_Hmglbn_MCnc_Pt_Bld_Qn,,1,718-7 - Hemoglobin:MCnc:Pt:Bld:Qn,46,LOINC,49,3,,v046,,TRUE
v047_Lmphcts_NCnc_Pt_Bld_Qn_Atmtd_mn,_Lmphcts_NCnc_Pt_Bld_Qn_Atmtd_mn,v047_Lmphcts_NCnc_Pt_Bld_Qn_Atmtd,3820,7,4,1,297896,1,14449,11024,v047_Lmphcts_NCnc_Pt_Bld_Qn_Atmtd,,1,731-0 - Lymphocytes:NCnc:Pt:Bld:Qn:Automated count,47,LOINC,4,2,,v047,,
v047_Lmphcts_NCnc_Pt_Bld_Qn_Atmtd,_Lmphcts_NCnc_Pt_Bld_Qn_Atmtd,,3820,7,4,1,297896,1,14449,11024,v047_Lmphcts_NCnc_Pt_Bld_Qn_Atmtd,,1,731-0 - Lymphocytes:NCnc:Pt:Bld:Qn:Automated count,47,LOINC,4,2,,v047,,TRUE
v048_lkcts_NFr_Pt_Bld_Qn_Atmtd_mn,_lkcts_NFr_Pt_Bld_Qn_Atmtd_mn,v048_lkcts_NFr_Pt_Bld_Qn_Atmtd,3818,1,4,1,297929,1,14416,11026,v048_lkcts_NFr_Pt_Bld_Qn_Atmtd,,1,736-9 - Lymphocytes/100 leukocytes:NFr:Pt:Bld:Qn:Automated count,48,LOINC,4,2,,v048,,
v048_lkcts_NFr_Pt_Bld_Qn_Atmtd,_lkcts_NFr_Pt_Bld_Qn_Atmtd,,3818,1,4,1,297929,1,14416,11026,v048_lkcts_NFr_Pt_Bld_Qn_Atmtd,,1,736-9 - Lymphocytes/100 leukocytes:NFr:Pt:Bld:Qn:Automated count,48,LOINC,4,2,,v048,,TRUE
v049_Mncts_NCnc_Pt_Bld_Qn_Atmtd_mn,_Mncts_NCnc_Pt_Bld_Qn_Atmtd_mn,v049_Mncts_NCnc_Pt_Bld_Qn_Atmtd,3820,7,4,1,297934,1,14411,11024,v049_Mncts_NCnc_Pt_Bld_Qn_Atmtd,,1,742-7 - Monocytes:NCnc:Pt:Bld:Qn:Automated count,49,LOINC,4,2,,v049,,
v049_Mncts_NCnc_Pt_Bld_Qn_Atmtd,_Mncts_NCnc_Pt_Bld_Qn_Atmtd,,3820,7,4,1,297934,1,14411,11024,v049_Mncts_NCnc_Pt_Bld_Qn_Atmtd,,1,742-7 - Monocytes:NCnc:Pt:Bld:Qn:Automated count,49,LOINC,4,2,,v049,,TRUE
v050_Ntrphls_NCnc_Pt_Bld_Qn_Atmtd_mn,_Ntrphls_NCnc_Pt_Bld_Qn_Atmtd_mn,v050_Ntrphls_NCnc_Pt_Bld_Qn_Atmtd,2126,8,4,1,305371,1,6974,12718,v050_Ntrphls_NCnc_Pt_Bld_Qn_Atmtd,,1,751-8 - Neutrophils:NCnc:Pt:Bld:Qn:Automated count,50,LOINC,4,2,,v050,,
v050_Ntrphls_NCnc_Pt_Bld_Qn_Atmtd,_Ntrphls_NCnc_Pt_Bld_Qn_Atmtd,,2126,8,4,1,305371,1,6974,12718,v050_Ntrphls_NCnc_Pt_Bld_Qn_Atmtd,,1,751-8 - Neutrophils:NCnc:Pt:Bld:Qn:Automated count,50,LOINC,4,2,,v050,,TRUE
v051_Ntrphls_NCnc_Pt_Bld_Qn_Mnl_mn,_Ntrphls_NCnc_Pt_Bld_Qn_Mnl_mn,v051_Ntrphls_NCnc_Pt_Bld_Qn_Mnl,3428,2,4,1,300167,1,12178,11416,v051_Ntrphls_NCnc_Pt_Bld_Qn_Mnl,,1,753-4 - Neutrophils:NCnc:Pt:Bld:Qn:Manual count,51,LOINC,4,2,,v051,,
v051_Ntrphls_NCnc_Pt_Bld_Qn_Mnl,_Ntrphls_NCnc_Pt_Bld_Qn_Mnl,,3428,2,4,1,300167,1,12178,11416,v051_Ntrphls_NCnc_Pt_Bld_Qn_Mnl,,1,753-4 - Neutrophils:NCnc:Pt:Bld:Qn:Manual count,51,LOINC,4,2,,v051,,TRUE
v052_lkcts_NFr_Pt_Bld_Qn_Atmtd_mn,_lkcts_NFr_Pt_Bld_Qn_Atmtd_mn,v052_lkcts_NFr_Pt_Bld_Qn_Atmtd,703,1,3,1,310304,1,2041,14141,v052_lkcts_NFr_Pt_Bld_Qn_Atmtd,,1,770-8 - Neutrophils/100 leukocytes:NFr:Pt:Bld:Qn:Automated count,52,LOINC,3,,,v052,,
v052_lkcts_NFr_Pt_Bld_Qn_Atmtd,_lkcts_NFr_Pt_Bld_Qn_Atmtd,,703,1,3,1,310304,1,2041,14141,v052_lkcts_NFr_Pt_Bld_Qn_Atmtd,,1,770-8 - Neutrophils/100 leukocytes:NFr:Pt:Bld:Qn:Automated count,52,LOINC,3,,,v052,,TRUE
v053_Pltlts_NCnc_Pt_Bld_Qn_Atmtd_mn,_Pltlts_NCnc_Pt_Bld_Qn_Atmtd_mn,v053_Pltlts_NCnc_Pt_Bld_Qn_Atmtd,6383,8,15,1,272586,1,39759,8461,v053_Pltlts_NCnc_Pt_Bld_Qn_Atmtd,,1,777-3 - Platelets:NCnc:Pt:Bld:Qn:Automated count,53,LOINC,15,3,,v053,,
v053_Pltlts_NCnc_Pt_Bld_Qn_Atmtd,_Pltlts_NCnc_Pt_Bld_Qn_Atmtd,,6383,8,15,1,272586,1,39759,8461,v053_Pltlts_NCnc_Pt_Bld_Qn_Atmtd,,1,777-3 - Platelets:NCnc:Pt:Bld:Qn:Automated count,53,LOINC,15,3,,v053,,TRUE
v054_vlm_EntVl_Pt_RBC_Qn_Atmtd_mn,_vlm_EntVl_Pt_RBC_Qn_Atmtd_mn,v054_vlm_EntVl_Pt_RBC_Qn_Atmtd,6394,1,14,1,271733,1,40612,8450,v054_vlm_EntVl_Pt_RBC_Qn_Atmtd,,1,787-2 - Erythrocyte mean corpuscular volume:EntVol:Pt:RBC:Qn:Automated count,54,LOINC,14,2,,v054,,
v054_vlm_EntVl_Pt_RBC_Qn_Atmtd,_vlm_EntVl_Pt_RBC_Qn_Atmtd,,6394,1,14,1,271733,1,40612,8450,v054_vlm_EntVl_Pt_RBC_Qn_Atmtd,,1,787-2 - Erythrocyte mean corpuscular volume:EntVol:Pt:RBC:Qn:Automated count,54,LOINC,14,2,,v054,,TRUE
v055_Erthrcts_NCnc_Pt_Bld_Qn_Atmtd_mn,_Erthrcts_NCnc_Pt_Bld_Qn_Atmtd_mn,v055_Erthrcts_NCnc_Pt_Bld_Qn_Atmtd,6391,8,14,1,271814,1,40531,8453,v055_Erthrcts_NCnc_Pt_Bld_Qn_Atmtd,,1,789-8 - Erythrocytes:NCnc:Pt:Bld:Qn:Automated count,55,LOINC,14,3,,v055,,
v055_Erthrcts_NCnc_Pt_Bld_Qn_Atmtd,_Erthrcts_NCnc_Pt_Bld_Qn_Atmtd,,6391,8,14,1,271814,1,40531,8453,v055_Erthrcts_NCnc_Pt_Bld_Qn_Atmtd,,1,789-8 - Erythrocytes:NCnc:Pt:Bld:Qn:Automated count,55,LOINC,14,3,,v055,,TRUE
v056_Chlstrl_tl_Chlstrl_in_mn,_Chlstrl_tl_Chlstrl_in_mn,v056_Chlstrl_tl_Chlstrl_in,424,2,2,1,311554,1,791,14420,v056_Chlstrl_tl_Chlstrl_in,,1,9830-1 - Cholesterol.total/Cholesterol.in HDL:MRto:Pt:Ser/Plas:Qn,56,LOINC,2,1,,v056,,
v056_Chlstrl_tl_Chlstrl_in,_Chlstrl_tl_Chlstrl_in,,424,2,2,1,311554,1,791,14420,v056_Chlstrl_tl_Chlstrl_in,,1,9830-1 - Cholesterol.total/Cholesterol.in HDL:MRto:Pt:Ser/Plas:Qn,56,LOINC,2,1,,v056,,TRUE
v057_Slmnl_entrts_tf,_Slmnl_entrts_tf,v057_Slmnl_entrts,4,1,1,,312341,2,4,14840,v057_Slmnl_entrts,2,1,A02.0 - Salmonella enteritis,57,ICD10,2,,,v057,,
v057_Slmnl_entrts,_Slmnl_entrts,,4,1,1,,312341,2,4,14840,v057_Slmnl_entrts,2,1,A02.0 - Salmonella enteritis,57,ICD10,2,,,v057,,TRUE
v059_Eschrch_infctns_tf,_Eschrch_infctns_tf,v059_Eschrch_infctns,4,1,2,,312338,3,7,14840,v059_Eschrch_infctns,4,1,A04.4 - Other intestinal Escherichia coli infections,59,ICD10,3,,,v059,,
v059_Eschrch_infctns,_Eschrch_infctns,,4,1,2,,312338,3,7,14840,v059_Eschrch_infctns,4,1,A04.4 - Other intestinal Escherichia coli infections,59,ICD10,3,,,v059,,TRUE
v060_Cmplbctr_entrts_tf,_Cmplbctr_entrts_tf,v060_Cmplbctr_entrts,2,1,1,,312343,2,2,14842,v060_Cmplbctr_entrts,3,1,A04.5 - Campylobacter enteritis,60,ICD10,2,,,v060,,
v060_Cmplbctr_entrts,_Cmplbctr_entrts,,2,1,1,,312343,2,2,14842,v060_Cmplbctr_entrts,3,1,A04.5 - Campylobacter enteritis,60,ICD10,2,,,v060,,TRUE
v061_Entrclts_dfcl_tf,_Entrclts_dfcl_tf,v061_Entrclts_dfcl,21,1,1,,312288,3,57,14823,v061_Entrclts_dfcl,5,3,A04.7 - Enterocolitis due to Clostridium difficile,61,ICD10,3,,,v061,,
v061_Entrclts_dfcl,_Entrclts_dfcl,,21,1,1,,312288,3,57,14823,v061_Entrclts_dfcl,5,3,A04.7 - Enterocolitis due to Clostridium difficile,61,ICD10,3,,,v061,,TRUE
v062_intstnl_infctns_tf,_intstnl_infctns_tf,v062_intstnl_infctns,26,1,2,,312230,3,115,14818,v062_intstnl_infctns,5,1,A04.8 - Other specified bacterial intestinal infections,62,ICD10,3,,,v062,,
v062_intstnl_infctns,_intstnl_infctns,,26,1,2,,312230,3,115,14818,v062_intstnl_infctns,5,1,A04.8 - Other specified bacterial intestinal infections,62,ICD10,3,,,v062,,TRUE
v063_infctn_unspcfd_tf,_infctn_unspcfd_tf,v063_infctn_unspcfd,1,1,1,,312344,1,1,14843,v063_infctn_unspcfd,1,1,"A04.9 - Bacterial intestinal infection, unspecified",63,ICD10,1,,,v063,,
v063_infctn_unspcfd,_infctn_unspcfd,,1,1,1,,312344,1,1,14843,v063_infctn_unspcfd,1,1,"A04.9 - Bacterial intestinal infection, unspecified",63,ICD10,1,,,v063,,TRUE
v065_gstrntrpth_tf,_gstrntrpth_tf,v065_gstrntrpth,5,1,1,,312337,2,8,14839,v065_gstrntrpth,3,2,A08.1 - Acute gastroenteropathy due to Norwalk agent and other small round viruses,65,ICD10,2,,,v065,,
v065_gstrntrpth,_gstrntrpth,,5,1,1,,312337,2,8,14839,v065_gstrntrpth,3,2,A08.1 - Acute gastroenteropathy due to Norwalk agent and other small round viruses,65,ICD10,2,,,v065,,TRUE
v066_Stphlccs_ptnts_tf,_Stphlccs_ptnts_tf,v066_Stphlccs_ptnts,7,1,1,,312338,2,7,14837,v066_Stphlccs_ptnts,2,2,A41.0 - Sepsis due to Staphylococcus aureus,66,ICD10,2,,,v066,,
v066_Stphlccs_ptnts,_Stphlccs_ptnts,,7,1,1,,312338,2,7,14837,v066_Stphlccs_ptnts,2,2,A41.0 - Sepsis due to Staphylococcus aureus,66,ICD10,2,,,v066,,TRUE
v068_stphlccs_tf,_stphlccs_tf,v068_stphlccs,1,1,1,,312344,2,1,14843,v068_stphlccs,2,1,A41.2 - Sepsis due to unspecified staphylococcus,68,ICD10,2,,,v068,,
v068_stphlccs,_stphlccs,,1,1,1,,312344,2,1,14843,v068_stphlccs,2,1,A41.2 - Sepsis due to unspecified staphylococcus,68,ICD10,2,,,v068,,TRUE
v069_anrbs_ptnts_tf,_anrbs_ptnts_tf,v069_anrbs_ptnts,1,1,1,,312344,2,1,14843,v069_anrbs_ptnts,2,1,A41.4 - Sepsis due to anaerobes,69,ICD10,2,,,v069,,
v069_anrbs_ptnts,_anrbs_ptnts,,1,1,1,,312344,2,1,14843,v069_anrbs_ptnts,2,1,A41.4 - Sepsis due to anaerobes,69,ICD10,2,,,v069,,TRUE
v070_Grm_ngtv_unspcfd_tf,_Grm_ngtv_unspcfd_tf,v070_Grm_ngtv_unspcfd,1,1,1,,312343,1,2,14843,v070_Grm_ngtv_unspcfd,1,1,"A41.50 - Gram-negative sepsis, unspecified",70,ICD10,1,,,v070,,
v070_Grm_ngtv_unspcfd,_Grm_ngtv_unspcfd,,1,1,1,,312343,1,2,14843,v070_Grm_ngtv_unspcfd,1,1,"A41.50 - Gram-negative sepsis, unspecified",70,ICD10,1,,,v070,,TRUE
v071_Eschrch_ptnts_tf,_Eschrch_ptnts_tf,v071_Eschrch_ptnts,6,1,1,,312339,2,6,14838,v071_Eschrch_ptnts,2,1,A41.51 - Sepsis due to Escherichia coli [E. coli],71,ICD10,2,,,v071,,
v071_Eschrch_ptnts,_Eschrch_ptnts,,6,1,1,,312339,2,6,14838,v071_Eschrch_ptnts,2,1,A41.51 - Sepsis due to Escherichia coli [E. coli],71,ICD10,2,,,v071,,TRUE
v073_unspcfd_orgnsm_tf,_unspcfd_orgnsm_tf,v073_unspcfd_orgnsm,73,1,2,,312144,3,201,14771,v073_unspcfd_orgnsm,4,1,"A41.9 - Sepsis, unspecified organism",73,ICD10,3,,,v073,,
v073_unspcfd_orgnsm,_unspcfd_orgnsm,,73,1,2,,312144,3,201,14771,v073_unspcfd_orgnsm,4,1,"A41.9 - Sepsis, unspecified organism",73,ICD10,3,,,v073,,TRUE
v074_Stphlccl_unspcfd_tf,_Stphlccl_unspcfd_tf,v074_Stphlccl_unspcfd,23,1,2,,312298,2,47,14821,v074_Stphlccl_unspcfd,5,2,"A49.0 - Staphylococcal infection, unspecified site",74,ICD10,2,,,v074,,
v074_Stphlccl_unspcfd,_Stphlccl_unspcfd,,23,1,2,,312298,2,47,14821,v074_Stphlccl_unspcfd,5,2,"A49.0 - Staphylococcal infection, unspecified site",74,ICD10,2,,,v074,,TRUE
v075_ALBMN_GLBLN_mn,_ALBMN_GLBLN_mn,v075_ALBMN_GLBLN,635,3,3,1,310990,1,1355,14209,v075_ALBMN_GLBLN,,1,ALBUMIN/GLOBULIN RATIO,75,LOINC,3,2,,v075,,
v075_ALBMN_GLBLN,_ALBMN_GLBLN,,635,3,3,1,310990,1,1355,14209,v075_ALBMN_GLBLN,,1,ALBUMIN/GLOBULIN RATIO,75,LOINC,3,2,,v075,,TRUE
v076_fcts_ptnts_mn,_fcts_ptnts_mn,v076_fcts_ptnts,5551,3,8,1,285339,1,27006,9293,v076_fcts_ptnts,,1,AST,76,LOINC,8,3,,v076,,
v076_fcts_ptnts,_fcts_ptnts,,5551,3,8,1,285339,1,27006,9293,v076_fcts_ptnts,,1,AST,76,LOINC,8,3,,v076,,TRUE
v077_Src__ptnts_cd,_Src__ptnts_cd,v077_Src__ptnts,12045,1,1,,165112,3,147233,2799,v077_Src__ptnts,,6,Admit Source,77,ADMIT|SOURCE,3,,,v077,,
v077_Src__ptnts,_Src__ptnts,,12045,1,1,,165112,3,147233,2799,v077_Src__ptnts,,6,Admit Source,77,ADMIT|SOURCE,3,,,v077,,TRUE
v078_cnjnctvts_tf,_cnjnctvts_tf,v078_cnjnctvts,17,1,2,,312324,3,21,14827,v078_cnjnctvts,4,1,"B30.9 - Viral conjunctivitis, unspecified",78,ICD10,3,,,v078,,
v078_cnjnctvts,_cnjnctvts,,17,1,2,,312324,3,21,14827,v078_cnjnctvts,4,1,"B30.9 - Viral conjunctivitis, unspecified",78,ICD10,3,,,v078,,TRUE
v079_Crnvrs_unspcfd_tf,_Crnvrs_unspcfd_tf,v079_Crnvrs_unspcfd,3,1,2,,312342,2,3,14841,v079_Crnvrs_unspcfd,4,1,"B34.2 - Coronavirus infection, unspecified",79,ICD10,2,,,v079,,
v079_Crnvrs_unspcfd,_Crnvrs_unspcfd,,3,1,2,,312342,2,3,14841,v079_Crnvrs_unspcfd,4,1,"B34.2 - Coronavirus infection, unspecified",79,ICD10,2,,,v079,,TRUE
v081_Cnds_ptnts_tf,_Cnds_ptnts_tf,v081_Cnds_ptnts,91,1,2,,312214,3,131,14753,v081_Cnds_ptnts,4,1,B37.3 - Candidiasis of vulva and vagina,81,ICD10,3,,,v081,,
v081_Cnds_ptnts,_Cnds_ptnts,,91,1,2,,312214,3,131,14753,v081_Cnds_ptnts,4,1,B37.3 - Candidiasis of vulva and vagina,81,ICD10,3,,,v081,,TRUE
v082_Cnds_urgntl_tf,_Cnds_urgntl_tf,v082_Cnds_urgntl,12,1,1,,312293,3,52,14832,v082_Cnds_urgntl,4,3,B37.4 - Candidiasis of other urogenital sites,82,ICD10,3,,,v082,,
v082_Cnds_urgntl,_Cnds_urgntl,,12,1,1,,312293,3,52,14832,v082_Cnds_urgntl,4,3,B37.4 - Candidiasis of other urogenital sites,82,ICD10,3,,,v082,,TRUE
v083_Cndl_ptnts_tf,_Cndl_ptnts_tf,v083_Cndl_ptnts,1,1,1,,312344,1,1,14843,v083_Cndl_ptnts,1,1,B37.7 - Candidal sepsis,83,ICD10,1,,,v083,,
v083_Cndl_ptnts,_Cndl_ptnts,,1,1,1,,312344,1,1,14843,v083_Cndl_ptnts,1,1,B37.7 - Candidal sepsis,83,ICD10,1,,,v083,,TRUE
v084_esphgts__ptnts_tf,_esphgts__ptnts_tf,v084_esphgts__ptnts,3,1,1,,312341,1,4,14841,v084_esphgts__ptnts,1,1,B37.81 - Candidal esophagitis,84,ICD10,1,,,v084,,
v084_esphgts__ptnts,_esphgts__ptnts,,3,1,1,,312341,1,4,14841,v084_esphgts__ptnts,1,1,B37.81 - Candidal esophagitis,84,ICD10,1,,,v084,,TRUE
v085_Stphlccs_elswhr_tf,_Stphlccs_elswhr_tf,v085_Stphlccs_elswhr,4,1,1,,312341,1,4,14840,v085_Stphlccs_elswhr,1,2,B95.6 - Staphylococcus aureus as the cause of diseases classified elsewhere,85,ICD10,1,,,v085,,
v085_Stphlccs_elswhr,_Stphlccs_elswhr,,4,1,1,,312341,1,4,14840,v085_Stphlccs_elswhr,1,2,B95.6 - Staphylococcus aureus as the cause of diseases classified elsewhere,85,ICD10,1,,,v085,,TRUE
v086_stphlccs_elswhr_tf,_stphlccs_elswhr_tf,v086_stphlccs_elswhr,1,1,1,,312344,1,1,14843,v086_stphlccs_elswhr,1,1,B95.7 - Other staphylococcus as the cause of diseases classified elsewhere,86,ICD10,1,,,v086,,
v086_stphlccs_elswhr,_stphlccs_elswhr,,1,1,1,,312344,1,1,14843,v086_stphlccs_elswhr,1,1,B95.7 - Other staphylococcus as the cause of diseases classified elsewhere,86,ICD10,1,,,v086,,TRUE
v087_Unspcfd_stphlccs_tf,_Unspcfd_stphlccs_tf,v087_Unspcfd_stphlccs,5,1,1,,312340,2,5,14839,v087_Unspcfd_stphlccs,2,1,B95.8 - Unspecified staphylococcus as the cause of diseases classified elsewhere,87,ICD10,2,,,v087,,
v087_Unspcfd_stphlccs,_Unspcfd_stphlccs,,5,1,1,,312340,2,5,14839,v087_Unspcfd_stphlccs,2,1,B95.8 - Unspecified staphylococcus as the cause of diseases classified elsewhere,87,ICD10,2,,,v087,,TRUE
v088_pnmn_elswhr_tf,_pnmn_elswhr_tf,v088_pnmn_elswhr,1,1,1,,312340,1,5,14843,v088_pnmn_elswhr,1,1,B96.1 - Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere,88,ICD10,1,,,v088,,
v088_pnmn_elswhr,_pnmn_elswhr,,1,1,1,,312340,1,5,14843,v088_pnmn_elswhr,1,1,B96.1 - Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere,88,ICD10,1,,,v088,,TRUE
v089_Eschrch_elswhr_tf,_Eschrch_elswhr_tf,v089_Eschrch_elswhr,9,1,1,,312334,1,11,14835,v089_Eschrch_elswhr,1,3,B96.2 - Escherichia coli [E. coli ] as the cause of diseases classified elsewhere,89,ICD10,1,,,v089,,
v089_Eschrch_elswhr,_Eschrch_elswhr,,9,1,1,,312334,1,11,14835,v089_Eschrch_elswhr,1,3,B96.2 - Escherichia coli [E. coli ] as the cause of diseases classified elsewhere,89,ICD10,1,,,v089,,TRUE
v090_mrbls_elswhr_tf,_mrbls_elswhr_tf,v090_mrbls_elswhr,2,1,1,,312342,1,3,14842,v090_mrbls_elswhr,1,1,B96.4 - Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere,90,ICD10,1,,,v090,,
v090_mrbls_elswhr,_mrbls_elswhr,,2,1,1,,312342,1,3,14842,v090_mrbls_elswhr,1,1,B96.4 - Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere,90,ICD10,1,,,v090,,TRUE
v091_Hlcbctr_elswhr_tf,_Hlcbctr_elswhr_tf,v091_Hlcbctr_elswhr,19,1,2,,312314,3,31,14825,v091_Hlcbctr_elswhr,3,1,B96.81 - Helicobacter pylori [H. pylori] as the cause of diseases classified elsewhere,91,ICD10,3,,,v091,,
v091_Hlcbctr_elswhr,_Hlcbctr_elswhr,,19,1,2,,312314,3,31,14825,v091_Hlcbctr_elswhr,3,1,B96.81 - Helicobacter pylori [H. pylori] as the cause of diseases classified elsewhere,91,ICD10,3,,,v091,,TRUE
v093_Crnvrs_elswhr_tf,_Crnvrs_elswhr_tf,v093_Crnvrs_elswhr,2,1,1,,312343,1,2,14842,v093_Crnvrs_elswhr,1,1,B97.2 - Coronavirus as the cause of diseases classified elsewhere,93,ICD10,1,,,v093,,
v093_Crnvrs_elswhr,_Crnvrs_elswhr,,2,1,1,,312343,1,2,14842,v093_Crnvrs_elswhr,1,1,B97.2 - Coronavirus as the cause of diseases classified elsewhere,93,ICD10,1,,,v093,,TRUE
v094_Rsprtr_elswhr_tf,_Rsprtr_elswhr_tf,v094_Rsprtr_elswhr,16,1,2,,312326,3,19,14828,v094_Rsprtr_elswhr,4,1,B97.4 - Respiratory syncytial virus as the cause of diseases classified elsewhere,94,ICD10,3,,,v094,,
v094_Rsprtr_elswhr,_Rsprtr_elswhr,,16,1,2,,312326,3,19,14828,v094_Rsprtr_elswhr,4,1,B97.4 - Respiratory syncytial virus as the cause of diseases classified elsewhere,94,ICD10,3,,,v094,,TRUE
v095_BN_CRTNN_ptnts_mn,_BN_CRTNN_ptnts_mn,v095_BN_CRTNN_ptnts,217,3,3,1,311925,1,420,14627,v095_BN_CRTNN_ptnts,,1,BUN/CREATININE RATIO,95,LOINC,3,2,,v095,,
v095_BN_CRTNN_ptnts,_BN_CRTNN_ptnts,,217,3,3,1,311925,1,420,14627,v095_BN_CRTNN_ptnts,,1,BUN/CREATININE RATIO,95,LOINC,3,2,,v095,,TRUE
v096_Indx__ptnts_mn,_Indx__ptnts_mn,v096_Indx__ptnts,10297,1,4,1,217079,1,95266,4547,v096_Indx__ptnts,,1,Body Mass Index,96,PAT_ENC,4,,,v096,,
v096_Indx__ptnts,_Indx__ptnts,,10297,1,4,1,217079,1,95266,4547,v096_Indx__ptnts,,1,Body Mass Index,96,PAT_ENC,4,,,v096,,TRUE
v097_CHLRD__ptnts_mn,_CHLRD__ptnts_mn,v097_CHLRD__ptnts,6202,1,34,1,269024,1,43321,8642,v097_CHLRD__ptnts,,1,CHLORIDE,97,LOINC,34,3,,v097,,
v097_CHLRD__ptnts,_CHLRD__ptnts,,6202,1,34,1,269024,1,43321,8642,v097_CHLRD__ptnts,,1,CHLORIDE,97,LOINC,34,3,,v097,,TRUE
v099_fcts_ptnts_cd,_fcts_ptnts_cd,v099_fcts_ptnts,12,1,1,,312331,1,14,14832,v099_fcts_ptnts,1,1,COVID-19 RFV BASE,99,BPA_LOCATOR_ID,1,,,v099,,
v099_fcts_ptnts,_fcts_ptnts,,12,1,1,,312331,1,14,14832,v099_fcts_ptnts,1,1,COVID-19 RFV BASE,99,BPA_LOCATOR_ID,1,,,v099,,TRUE
v100_Dprtmnt__ptnts_cd,_Dprtmnt__ptnts_cd,v100_Dprtmnt__ptnts,14008,1,1,,86214,7,226131,836,v100_Dprtmnt__ptnts,,88,Clinical Service Department,100,VISITDETAIL|SPEC,7,,,v100,,
v100_Dprtmnt__ptnts,_Dprtmnt__ptnts,,14008,1,1,,86214,7,226131,836,v100_Dprtmnt__ptnts,,88,Clinical Service Department,100,VISITDETAIL|SPEC,7,,,v100,,TRUE
v101_psthmrhgc_tf,_psthmrhgc_tf,v101_psthmrhgc,18,1,1,,312324,1,21,14826,v101_psthmrhgc,2,1,D62 - Acute posthemorrhagic anemia,101,ICD10,1,,,v101,,
v101_psthmrhgc,_psthmrhgc,,18,1,1,,312324,1,21,14826,v101_psthmrhgc,2,1,D62 - Acute posthemorrhagic anemia,101,ICD10,1,,,v101,,TRUE
